Time, Altitude, Velocity, Temperature (F), Voltage
20.25, 1532, -18, 89.37, 4.15
20.30, 1529, -18, 89.37, 4.15
20.35, 1529, -18, 89.37, 4.15
20.40, 1527, -18, 89.37, 4.15
20.45, 1526, -18, 89.37, 4.15
20.50, 1525, -18, 89.37, 4.15
20.55, 1524, -18, 89.37, 4.15
20.60, 1523, -18, 89.37, 4.15
20.65, 1523, -18, 89.37, 4.15
20.70, 1522, -18, 89.37, 4.15
20.75, 1520, -18, 89.37, 4.15
20.80, 1520, -18, 89.37, 4.15
20.85, 1518, -18, 89.37, 4.15
20.90, 1519, -18, 89.35, 4.15
20.95, 1518, -18, 89.37, 4.15
21.00, 1516, -18, 89.37, 4.15
21.05, 1515, -18, 89.37, 4.15
21.10, 1514, -18, 89.35, 4.15
21.15, 1512, -19, 89.37, 4.15
21.20, 1511, -19, 89.37, 4.15
21.25, 1510, -19, 89.37, 4.15
21.30, 1511, -19, 89.37, 4.15
21.35, 1508, -18, 89.37, 4.15
21.40, 1508, -18, 89.37, 4.15
21.45, 1506, -18, 89.37, 4.15
21.50, 1507, -18, 89.37, 4.15
21.55, 1507, -18, 89.37, 4.15
21.60, 1505, -19, 89.37, 4.15
21.65, 1505, -19, 89.35, 4.15
21.70, 1502, -19, 89.37, 4.15
21.75, 1502, -19, 89.37, 4.15
21.80, 1501, -18, 89.37, 4.15
21.85, 1500, -18, 89.37, 4.15
21.90, 1501, -18, 89.37, 4.15
21.95, 1499, -18, 89.37, 4.15
22.00, 1498, -19, 89.37, 4.15
22.05, 1495, -18, 89.37, 4.15
22.10, 1496, -18, 89.37, 4.15
22.15, 1494, -18, 89.37, 4.15
22.20, 1494, -18, 89.37, 4.15
22.25, 1492, -18, 89.37, 4.15
22.30, 1493, -18, 89.37, 4.15
22.35, 1492, -18, 89.37, 4.15
22.40, 1492, -18, 89.37, 4.15
22.45, 1489, -18, 89.37, 4.15
22.50, 1488, -18, 89.37, 4.15
22.55, 1487, -18, 89.37, 4.15
22.60, 1486, -18, 89.37, 4.15
22.65, 1484, -19, 89.37, 4.15
22.70, 1484, -18, 89.37, 4.15
22.75, 1485, -18, 89.37, 4.15
22.80, 1483, -18, 89.37, 4.15
22.85, 1483, -18, 89.37, 4.15
22.90, 1482, -18, 89.37, 4.15
22.95, 1479, -18, 89.37, 4.15
23.00, 1479, -18, 89.37, 4.15
23.05, 1478, -18, 89.37, 4.15
23.10, 1477, -18, 89.37, 4.15
23.15, 1476, -18, 89.37, 4.15
23.20, 1475, -18, 89.37, 4.15
23.25, 1474, -18, 89.37, 4.15
23.30, 1473, -18, 89.37, 4.15
23.35, 1472, -18, 89.37, 4.15
23.40, 1473, -18, 89.37, 4.15
23.45, 1472, -18, 89.37, 4.15
23.50, 1471, -18, 89.37, 4.15
23.55, 1469, -18, 89.37, 4.15
23.60, 1467, -18, 89.37, 4.15
23.65, 1467, -18, 89.37, 4.15
23.70, 1467, -18, 89.37, 4.15
23.75, 1465, -18, 89.37, 4.15
23.80, 1465, -18, 89.37, 4.15
23.85, 1465, -18, 89.37, 4.15
23.90, 1462, -18, 89.37, 4.15
23.95, 1462, -17, 89.37, 4.15
24.00, 1461, -17, 89.37, 4.15
24.05, 1460, -17, 89.35, 4.15
24.10, 1459, -17, 89.37, 4.15
24.15, 1458, -17, 89.35, 4.15
24.20, 1458, -17, 89.37, 4.15
24.25, 1457, -17, 89.37, 4.15
24.30, 1456, -17, 89.37, 4.15
24.35, 1455, -17, 89.35, 4.15
24.40, 1454, -17, 89.37, 4.15
24.45, 1453, -17, 89.37, 4.15
24.50, 1453, -17, 89.37, 4.15
24.55, 1451, -17, 89.37, 4.15
24.60, 1451, -17, 89.37, 4.15
24.65, 1450, -17, 89.37, 4.15
24.70, 1449, -17, 89.37, 4.15
24.75, 1449, -17, 89.37, 4.15
24.80, 1446, -17, 89.37, 4.15
24.85, 1446, -17, 89.37, 4.15
24.90, 1446, -17, 89.37, 4.15
24.95, 1446, -17, 89.37, 4.15
25.00, 1446, -16, 89.37, 4.15
25.05, 1444, -16, 89.37, 4.15
25.10, 1442, -16, 89.37, 4.15
25.15, 1442, -16, 89.35, 4.15
25.20, 1442, -16, 89.37, 4.15
25.25, 1440, -16, 89.37, 4.15
25.30, 1439, -16, 89.37, 4.15
25.35, 1438, -16, 89.37, 4.15
25.40, 1437, -16, 89.37, 4.15
25.45, 1437, -17, 89.37, 4.15
25.50, 1436, -16, 89.37, 4.15
25.55, 1434, -16, 89.37, 4.15
25.60, 1435, -16, 89.35, 4.15
25.65, 1433, -16, 89.37, 4.15
25.70, 1432, -16, 89.37, 4.15
25.75, 1431, -16, 89.37, 4.15
25.80, 1432, -16, 89.35, 4.15
25.85, 1430, -16, 89.37, 4.15
25.90, 1430, -16, 89.37, 4.15
25.95, 1429, -16, 89.35, 4.15
26.00, 1428, -16, 89.37, 4.15
26.05, 1427, -16, 89.37, 4.15
26.10, 1428, -16, 89.37, 4.15
26.15, 1427, -16, 89.37, 4.15
26.20, 1426, -16, 89.37, 4.15
26.25, 1424, -16, 89.37, 4.15
26.30, 1423, -16, 89.37, 4.15
26.35, 1422, -16, 89.37, 4.15
26.40, 1420, -16, 89.35, 4.15
26.45, 1421, -16, 89.37, 4.15
26.50, 1419, -16, 89.37, 4.15
26.55, 1420, -16, 89.37, 4.15
26.60, 1417, -16, 89.37, 4.15
26.65, 1418, -16, 89.35, 4.15
26.70, 1418, -16, 89.37, 4.15
26.75, 1418, -16, 89.35, 4.15
26.80, 1416, -16, 89.35, 4.15
26.85, 1415, -16, 89.35, 4.15
26.90, 1414, -16, 89.37, 4.15
26.95, 1412, -16, 89.37, 4.15
27.00, 1412, -16, 89.35, 4.15
27.05, 1411, -16, 89.35, 4.15
27.10, 1411, -16, 89.35, 4.15
27.15, 1410, -16, 89.37, 4.15
27.20, 1409, -16, 89.35, 4.15
27.25, 1408, -16, 89.35, 4.15
27.30, 1407, -15, 89.35, 4.15
